e2e4 e7e6 d2d4 d7d5 e4e5 c7c5 c2c3 b8c6 g1f3 d8b6                               : ....7 188 moves, avg. D29, 097 counts/move
d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 a7a6 h2h3 e7e6                               : .......36 moves, avg. D01, 001 counts/move
e2e4 c7c6 d2d4 d7d5 e4e5 c6c5 g1f3 c8g4 d4c5 b8c6                               : .......39 moves, avg. D03, 010 counts/move
e2e4 e7e6 d2d4 d7d5 b1d2 c7c5 g1f3 g8f6 e4e5 f6d7                               : .......27 moves, avg. D01, 001 counts/move
d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 g2g3 e8g8 f1g2 d7d6                               : ......597 moves, avg. D29, 082 counts/move
e2e4 c7c5 g1e2 d7d6 b1c3 g8f6 g2g3 b8c6 d2d3 e7e6                               : .......29 moves, avg. D01, 001 counts/move
d2d4 g8f6 c2c4 e7e6 g2g3 f8b4 c1d2 b4e7 f1g2 d7d5                               : ..104 861 moves, avg. D34, 074 counts/move
d2d4 d7d5 c2c4 e7e6 c4d5 e6d5 b1c3 c7c6 c1f4 c8f5                               : .......38 moves, avg. D01, 001 counts/move
e2e4 c7c5 g1f3 b8c6 f1b5 e7e6 e1g1 g8e7 d2d4 c5d4                               : .......89 moves, avg. D16, 055 counts/move
e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 e1g1 g8f6 d2d3 a7a5                               : ...25 358 moves, avg. D34, 099 counts/move
d2d4 d7d5 c1f4 g8f6 b1d2 e7e6 g1f3 f8d6 e2e3 e8g8                               : .......38 moves, avg. D03, 007 counts/move
g1f3 g8f6 c2c4 b7b6 d2d4 e7e6 g2g3 c8a6 d1c2 a6b7                               : .......39 moves, avg. D01, 001 counts/move
d2d4 d7d5 c1f4 c7c5 g1f3 c5d4 c2c3 d8b6 c3d4 g8f6                               : .......36 moves, avg. D01, 001 counts/move
e2e4 c7c5 c2c3 d7d5 e4d5 d8d5 d2d4 b8c6 g1f3 c8f5                               : .......65 moves, avg. D10, 027 counts/move
e2e4 e7e5 g1f3 b8c6 f1c4 g8f6 d2d3 f8c5 c2c3 c5b6                               : .......68 moves, avg. D18, 054 counts/move
e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 f2f3 e7e6                               : ....1 460 moves, avg. D31, 077 counts/move
d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 g1f3 f8b4 c4d5 e6d5                               : ...13 942 moves, avg. D06, 120 counts/move
e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 c1e3 f6g4                     : 1 000 000 moves, avg. D32, 098 counts/move
d2d4 d7d5 c2c4 c7c6 e2e3 c8f5 g1f3 e7e6 b1c3 f8d6                               : .......35 moves, avg. D01, 001 counts/move
