e2e4 c7c6 d2d4 d7d5 e4e5 c6c5 d4c5 e7e6 a2a3 b8c6                               : ......488 moves, avg. D40, 014 counts/move
e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1g1 f6e4 d2d4 e4d6                               : 1 000 000 moves, avg. D44, 037 counts/move
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 g1f3 b7b6 e2e3 e8g8                               : ....2 863 moves, avg. D36, 020 counts/move
c2c4 c7c6 d2d4 d7d5 g1f3 g8f6 e2e3 e7e6 b2b3 c6c5                               : ......443 moves, avg. D35, 026 counts/move
g1f3 g8f6 d2d4 c7c6 c1f4 d7d5 e2e3 c8f5 b1d2 e7e6                               : ......466 moves, avg. D36, 014 counts/move
c2c4 e7e6 g1f3 d7d5 d2d4 f8e7 g2g3 g8f6 f1g2 e8g8                               : ...98 416 moves, avg. D38, 089 counts/move
c2c4 c7c6 e2e4 d7d5 e4d5 c6d5 d2d4 g8f6 b1c3 b8c6                               : ....1 340 moves, avg. D46, 022 counts/move
d2d4 d7d5 c2c4 c7c6 e2e3 c8f5 g1f3 e7e6 f1d3 f5d3                               : .......29 moves, avg. D01, 001 counts/move
e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f1b5 b8d7 f3d4 g7g6                               : ......108 moves, avg. D24, 012 counts/move
g1f3 g8f6 g2g3 g7g6 d2d4 f8g7 f1g2 d7d5 c2c4 e8g8                               : .......35 moves, avg. D03, 002 counts/move
e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f1b5 c8d7 f3d4 g8f6                               : .......70 moves, avg. D54, 011 counts/move
d2d4 g8f6 g1f3 d7d5 c2c4 d5c4 e2e3 e7e6 f1c4 c7c5                               : ..175 357 moves, avg. D45, 018 counts/move
e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f1b5 b8c6 f3d4 c8d7                               : ......411 moves, avg. D51, 014 counts/move
d2d4 d7d5 e2e3 g8f6 g1f3 e7e6 f1d3 c7c5 b2b3 b8c6                               : ...19 041 moves, avg. D45, 026 counts/move
e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f1b5 b8d7 f3d4 g8f6                               : .......47 moves, avg. D01, 001 counts/move
e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 e4e5 f6d7 f2f4 c7c5                               : 1 000 000 moves, avg. D36, 068 counts/move
c2c4 e7e6 g1f3 g8f6 b1c3 f8b4 d1c2 e8g8 a2a3 b4c3                               : ......243 moves, avg. D29, 011 counts/move
d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 g2g3 d7d5 c4d5 f6d5                               : ......427 moves, avg. D39, 027 counts/move
d2d4 g8f6 c2c4 e7e6 e2e3 b7b6 g1f3 c8b7 b1c3 d7d5                               : ...11 679 moves, avg. D44, 029 counts/move
c2c4 c7c5 g1f3 g8f6 g2g3 d7d5 d2d4 d5c4 d1a4 d8d7                               : ......955 moves, avg. D45, 020 counts/move
d2d4 d7d5 c2c4 c7c6 g1f3 e7e6 e2e3 g8f6 d1c2 f8d6                               : 1 000 000 moves, avg. D39, 033 counts/move
d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 g1f3 f8g7 c1f4 e8g8                               : ......313 moves, avg. D43, 023 counts/move
d2d4 d7d5 e2e3 c8f5 g1f3 c7c6 f1d3 e7e6 d3f5 e6f5                               : .......29 moves, avg. D01, 001 counts/move
e2e4 c7c6 d2d4 d7d5 e4d5 c6d5 g1f3 g8f6 c2c4 g7g6                               : ....2 037 moves, avg. D34, 047 counts/move
d2d4 g8f6 c2c4 e7e6 g2g3 d7d5 f1g2 d5c4 g1f3 a7a6                               : ......934 moves, avg. D38, 021 counts/move
e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 d2d3 f8c5                               : 1 000 000 moves, avg. D42, 037 counts/move
g1f3 g8f6 d2d4 c7c6 c1f4 d7d5 e2e3 c8f5 c2c4 e7e6                               : ......140 moves, avg. D28, 012 counts/move
g1f3 g8f6 c2c4 b7b6 d2d4 e7e6 g2g3 c8a6 b1d2 c7c5                               : .......28 moves, avg. D04, 008 counts/move
d2d4 g8f6 c2c4 c7c6 g1f3 d7d5 b1c3 a7a6 a2a4 e7e6                               : .......38 moves, avg. D03, 002 counts/move
e2e4 c7c5 c2c3 d7d5 e4d5 d8d5 d2d4 b8c6 g1f3 e7e6                               : .......36 moves, avg. D01, 001 counts/move
d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 f8e7 c1f4 e8g8                               : ..524 775 moves, avg. D45, 018 counts/move
e2e4 c7c6 d2d4 d7d5 e4e5 c8f5 g1f3 e7e6 c2c3 b8d7                               : ....2 871 moves, avg. D35, 020 counts/move
